username,rank,pubkey,first_donation_at,last_donation_at,total_droplets
picturesque_fastball_621,74,3WCStkdDJMWmwXZ92RYogVNuRyAu4ncpnzRJFqhV9GPe,2025-04-04 09:41:47.946055Z,2025-04-04 09:46:34.013992Z,128
star_farmer,75,EAzXX4npyvH2cnwKgSGC86nTkMZQCZM6rs3Zk2CtKzwm,2025-04-05 09:34:52.667544Z,2025-04-05 09:34:52.667544Z,126
tiny_eclipse_670,76,AuuVNXPMc34mTW8MV5RygrzGuqEyfKxsP2cAMuBLR4h5,2025-04-03 15:25:13.350263Z,2025-04-03 15:25:32.610161Z,124
billybohner,77,FZpL1Pr3XVLwKqETCE8mATGscydYQ6zDDhjeoBYR3QyM,2025-10-29 10:05:59.238815Z,2025-12-09 12:45:18.111626Z,124
vagabond_rainstorm,78,8qyvFe4yAL7dePoCrLTn9vU1F77NXPj68fTbh618Wc58,2024-12-22 05:13:00.683735Z,2025-12-08 10:03:38.028800Z,119
1BLU,79,BeBSteipa8NU9JJ8MsLcmGpHFD7ct2WJPxuCo4ZciTMa,2024-12-24 16:08:10.397558Z,2025-02-24 17:14:14.466749Z,119
Samuel71pr,80,Cbjb6FZjCRdACudaEDg2oAkMTL6BEvCMnXuXWAgWSzqj,2024-12-22 02:46:56.435835Z,2025-06-01 18:07:37.029284Z,117
REKTRossi,81,CKWoCBUCy1fMMtXL7DZqJRvAQpxTjECmzQ8V69cPnRFL,2025-05-13 12:01:35.056046Z,2025-11-19 12:42:53.837397Z,114
visual_nose_560,82,BzJpjEhwxzTX65obzfVRQ8jzJ44XZ4Q5iUKTM1TUAYQM,2025-02-03 09:55:05.059628Z,2025-02-03 09:55:05.059628Z,111
generated_princess_275,83,6aZGtxLUQnAYGD8FG1sxQCetXQhgu66KGMLA6v3heYrX,2025-02-22 05:38:00.926256Z,2025-02-22 05:38:00.926256Z,111
seen_legal,84,RHFjPp85EtNDFfFqbTZyjsbM1ErChLZ7qgz9iW8F3a7,2025-04-10 05:30:39.000540Z,2025-04-10 05:30:39.000540Z,111
andrew777,85,64dThJig3WbLF7Bhgr2udzwXtDtmaLREVpPPejybr6cN,2025-03-03 17:28:14.662302Z,2025-03-03 17:28:21.937504Z,110
glaze_secure,86,AdHeAMR6UUWGUMVp1NY7cZkMepYoZvrZhFnS5K8qFbbh,2024-12-22 00:17:16.926873Z,2025-02-16 12:44:51.256620Z,109
Cryptosaiyanblue777,87,5euXqk6gdg5wJ3xrJk8fHWrqqEkXaJ5totgQT6i9dfXF,2025-01-05 20:10:53.843622Z,2025-02-16 15:12:47.624726Z,106
BloodyB,88,HJBVadEgXB5TB3V65vn6gYvUvfeXtTzEW67kiR245Grf,2025-02-27 19:46:40.802191Z,2025-03-29 15:04:37.394481Z,104
XThemanualdudeX,89,3i4dBaLDqF1Qm4AK1Sw5ZWTVbdj7KdaNjFoXGXVXxYA2,2024-12-20 19:47:06.385254Z,2025-01-18 10:30:10.956986Z,103
cheerfulnb,90,ChpuiL31UMPtHEYZv9VRNDzZVXdRn1mpRGkWd7mmhucS,2024-12-29 01:40:14.314484Z,2025-04-21 12:46:24.633798Z,102
TyLoo,91,FX9BhzybjbBGq9YUtYAh4HLDzngjdxsVoHtpc1P5oB4Y,2025-03-08 11:48:03.733972Z,2025-03-08 11:49:14.330045Z,102
Bebo,92,G48uEpFLB7Ti9kpPb2x2q2xx2ismQvhLEWPTTMeSVyVv,2024-12-26 15:14:33.463629Z,2024-12-27 21:15:32.463993Z,101
Albert01,93,7FVBVG8oDJdK6T8Qh51NWXXogw4ayHYUEssBRRSzMRYq,2025-01-10 10:12:07.435604Z,2025-01-11 12:26:35.298135Z,101
zest_destiny,94,MmkHg6BJHgfNqQViNWi5uGf3paajoEai42AJ9UQrGpM,2025-01-30 07:35:20.017217Z,2025-02-21 00:45:28.400791Z,101
iiLobo,95,ALcTMqdEZjywUG1yLxjPhDZa1UA3sRXSG3pbHgnAM5rt,2024-12-20 17:51:43.171207Z,2024-12-20 17:51:43.171207Z,100
RISHAV77,96,HPoTDsx7k2FR3HmhtxJxrR8ybrwE7pwr2FEkhXuSc1HZ,2024-12-27 17:50:03.798976Z,2025-01-02 17:51:30.065814Z,100
xprince,97,E6KBzzUwtrUwDSspwsE8PT6jViAF1bfaeihXbjY3v4Pb,2024-12-27 17:52:52.927701Z,2025-01-02 17:55:58.707565Z,100
Vijayygg,98,9Xm7qggMHh186f88fKoeLzSq8uYoK9opxzbYFSnBFuJs,2024-12-27 18:04:12.617836Z,2025-01-02 18:23:12.877189Z,100
Cryptoturah,99,FhKBxBWo9iu5Ho6VW9SPhFNb7rLfvYJpNxPpnA1vJ3um,2025-01-17 14:10:04.072156Z,2025-05-10 11:19:36.321102Z,100
Bonekblitar,100,5Ysqoxg2NqDHWUnrcLHd62xkLWJDXCwiyj3zLsXhSKkn,2025-01-21 06:46:57.471164Z,2025-01-21 06:46:57.471164Z,100
Kenari05,101,CzYPbrAyBMVDtEbRtr6K2BZTMqk3kyyNDg9FgxWX2agv,2025-01-29 11:07:21.571539Z,2025-01-29 11:07:21.571539Z,100
Lostsoul,102,bzSLeFosZUnnj38dcis6X6AnGf1AMrAkf5XGd3pbkNj,2025-01-29 22:30:34.452621Z,2025-02-08 04:32:02.461306Z,100
nenx,103,BPXh748DyKHkEH5AKoPQFYGDqRoK25JNpVb4QEr9Atdg,2025-01-30 13:39:12.079369Z,2025-01-30 13:39:12.079369Z,100
defiant_salary_703,104,9xrZBCnxYkwBv7Zcj7X4T7FnmWSVa2n14odq5P7qQYe4,2025-02-15 05:02:45.011454Z,2025-02-21 06:34:07.185590Z,100
Riyadh,105,FC4BzxP4163VSpJwrq1YtvYwJXMZrg38fYSCqMGzbHCs,2025-02-28 16:02:54.012615Z,2025-02-28 16:02:57.551327Z,100
mrashiq215,106,EBfaPSX7yrmGJ7wEnsz8UaV9yVjP6QtLxiY88JAz7xVE,2025-03-12 07:45:40.451760Z,2025-03-12 07:45:40.451760Z,100
responsible_lunch_798,107,5psZbURg51WXnZKEPr7SZxE1fZ3CHHqCWwqK4PDKntp1,2025-04-04 10:17:19.395660Z,2025-04-04 10:17:19.395660Z,100
dented_honesty_664,108,Axhk23aPveQhuzkJEBS3z8cvrmEpoW31jv291o4aA2VD,2025-04-07 15:00:13.744567Z,2025-04-07 15:00:13.744567Z,100
MRLP,109,GBckBPPg1GC8L3KayeaKq9UMVhP5KZReWCGEw9eGhafd,2025-08-01 17:50:34.498323Z,2025-08-01 17:50:34.498323Z,100
slime_angolatitan_986,110,EkgE3UXaq7HCSGC3PyHCFrm6ewQQKc6UsjD1TvhioLBY,2025-10-29 10:13:49.550281Z,2025-12-22 09:19:18.630531Z,100
aaravaigains,111,2KZYYJiqZWpRiFmBq4MY4oCPU9aozH8NNZXnwqeQpLMV,2025-11-27 03:20:25.009281Z,2026-01-01 08:18:09.620636Z,100
Vitos,112,B8DQJLCvAydMHgZKsweSt6LzmEgiXd3T3BVg3qYBHq9E,2025-12-10 13:20:37.445535Z,2025-12-10 13:20:37.445535Z,100
AngieMorris,113,CkH7X6P75sV8wJeZFBpNNPe7pyjPGXT5jF4zzEJxALwt,2025-12-16 15:10:33.112490Z,2025-12-16 15:10:33.112490Z,100
crystalline_saltasaurus,114,DyzjRHDoMjWR7awabo4QUPjtw1pxc9FPesbxjku6riGC,2025-11-01 18:57:50.054765Z,2025-12-07 11:55:42.507213Z,96
uttermost_notify,115,3CEw8PB23mQaNyiLgssKR5iADfSqUwYZrcxMVFRHc9pt,2025-04-04 08:28:40.680397Z,2025-04-04 08:28:40.680397Z,95
Cbeningsol_,116,BZ1tm21r8Wx3fXQLXAv84GqGgSTPNPLS4rg6JL6xuWzn,2025-01-03 16:48:16.406144Z,2025-01-04 15:18:56.688076Z,91
Vishnya,117,BLZ3Eh4sGXVAohwvbKoTWVicANGnwPNQ9B8WCKqDDhNh,2024-12-21 13:36:16.223020Z,2024-12-27 13:50:58.438107Z,90
JK_,118,CWR7TrM9vfsNpxgGSPjGya3a1SZexyzREArr49RfHttj,2025-01-03 03:06:41.685066Z,2025-04-05 14:43:01.497551Z,90
fatwaaridho,119,3hQ6N91ZXPodHssmDMcKDrkANtes4GW73WJGfbioupxd,2024-12-31 01:54:11.239025Z,2025-02-20 17:54:38.638190Z,88
Luminisk,120,F62V92VvkTuadtmtUDy3e5pzKqyjGbo6v1wraw7HJVYC,2025-04-19 14:31:46.255657Z,2025-10-29 15:50:46.591318Z,87
ShakenBake,121,APYZLV53iTxXLM7QdesgnCiL83GnXPd9dC3GbQukiYY,2024-12-23 00:08:31.677885Z,2025-02-01 11:49:07.797620Z,85
siyi11,122,EtdbiBLHaid6gunHjLdtGmyjQzJgebhKnX9o4dDtru2B,2024-12-28 08:13:59.670772Z,2025-01-02 12:54:07.181761Z,81
dedicated_toothbrush_652,123,67e39dwoxnLvrviby7pJmrVXpQg7Y1i4R6h81gjRKVQP,2025-04-02 13:21:32.915536Z,2025-04-02 13:21:32.915536Z,80
Cristian87,124,DhavuDGFF4FfzJ1LSsXLseKc3T5WxpCKbo2thGZX7Ehx,2025-04-16 06:51:38.611187Z,2025-05-25 08:43:51.443834Z,80
Yunus,125,5ozDrV2rs6mjz1r8jj2gSFtxxSodyywU4W6sFVcXbt86,2025-01-04 21:45:34.982482Z,2025-04-07 22:37:07.104098Z,78
idriss03ng,126,6BFiyBhaBmRn5fG1shHbaKqk8QMg31ShvQWrheYt4LqG,2024-12-20 19:31:55.088345Z,2025-01-25 15:47:38.495488Z,76
YasMaz,127,9TUvFhLsvZzLwd7d3W1XZBcKPetbuzmQPzgMMV1jbN4w,2024-12-27 23:48:18.713370Z,2024-12-27 23:48:18.713370Z,76
wise_thorium_853,128,DGCRfFwrjBfJEM64RiBsms5nFHAM1jX1MjFSnrTkNnVH,2025-03-12 22:23:57.169555Z,2025-03-12 22:23:57.169555Z,75
AeonSmash,129,ABXA9iPoR9Buf3aP5yqNJHhkDLj2hdj4onydLG1FpKy9,2024-12-21 22:06:06.828449Z,2025-11-17 14:09:34.536758Z,74
Ratedarn,130,6v5MW7t9yvUtapMrjyUvD2MnF4K9KdW1iSydJepjUT8m,2025-05-31 22:47:21.830157Z,2025-05-31 22:53:30.553630Z,74
warp_jitterbug_272,131,FXUimT8aqrHhvFMn15L6frBXjxn5omeLgppNFszCC6WM,2025-04-02 12:48:58.154280Z,2025-04-02 12:50:00.311359Z,73
Digitalboyy,132,AA9nrUA4gNqUKwNTfx7SvYzfhY8cYaAuFi7aUDbRdxQV,2025-01-01 14:18:11.895527Z,2025-01-01 14:18:11.895527Z,71
FanBe,133,CCewvhwMDhDpYYvLXWV5KhmgmjRdGYc9uJhQoHDwAgCR,2025-02-19 17:09:07.563712Z,2025-02-19 17:09:52.246116Z,71
Monty_the_Collie,134,9REU2tFC97mqVzSJ2G8SvbwQ6XvHgUS36PZym9CkGmRV,2024-12-26 18:59:22.267212Z,2025-01-29 14:21:45.314072Z,70
yuzu1,135,Hv1t2TeoCDADA5VV9XGAYTr9oT7phZJmcgi5DEgY9Tz3,2024-12-28 15:00:47.770724Z,2025-01-01 01:43:01.452671Z,70
notnicksol,136,Buu6z4Dx4HUKvXMbHVuoBwNKntvEqtHViVkdJYYJAEX9,2025-01-03 02:08:00.952755Z,2025-01-03 02:08:00.952755Z,70
vanilla_candy_501,137,HKMiQcafUWFNAQ9jJwMdcx5SXwdyfHmbvnA8CWksWQtv,2025-04-03 09:41:51.176625Z,2025-04-03 09:46:20.172925Z,68
Bungle,138,GF9PZguuyvzQUhBFc16QDa9NM33athaPRFaMH1LiyDjJ,2024-12-27 21:53:02.640685Z,2025-02-22 10:50:09.474902Z,67
A8DOUL,139,DYYxVJvcdxG1ibGBfQhXies6DMTL6vxVit1eaQJ6P8UM,2024-12-28 05:55:36.112621Z,2025-01-07 07:46:51.347439Z,65
LUCKY888888,140,DRLTR5JRfc6gofXUhoMDAunrxxfCicPQAuueQXr7sCus,2024-12-27 02:55:48.210714Z,2025-01-29 12:54:04.878842Z,64
BYE_BYE_GG,141,HfZxwpz6JsfpfDgRE8R5pYoVvGS413xXFwyqCAQ5P8Bj,2024-12-26 18:53:20.473867Z,2025-01-29 09:47:15.113119Z,62
ghotoman,142,GLpDxG9BTxEdVBbBBSwbkuKHqcwAq3DLMw6cECVjHGmu,2024-12-25 18:56:24.684714Z,2025-01-20 17:13:34.919458Z,61
ress20,143,CJfxVUgBybiFn5yevqbviV6ah3TuPkEA6h2qMAGaCuFi,2024-12-28 10:47:28.529831Z,2025-01-08 00:52:45.667447Z,61
Vantuss,144,J3qHaReGyJm1Z6dN3VK8JgP5B9v2VdYVz6v8ow26AL18,2025-01-03 13:15:25.731535Z,2025-04-26 10:20:06.032219Z,61
THEDIGITALVAULT,145,GJDzWgjF7HWgvBvUvvJ4qmPt6XRYx5AhWMcKR8J2fCNb,2025-01-22 08:51:59.018622Z,2025-02-15 13:32:03.546932Z,61
CarylSharrett,146,6sHnS43m21vWZ1MU7b6g9CCgQrZRZi7dvY6gAXMtuvwp,2025-05-12 09:06:49.908961Z,2025-05-12 09:07:07.348890Z,61
LunalFresh,147,CXLLR8fiiaTUu7rPT2aDM22L8wEewYBzcGPDctNHpUk2,2024-12-27 19:05:21.318006Z,2025-01-29 13:21:19.061418Z,60
Aynol,148,4ZUmy1gZsRefQ8d7ZiuqZ7ZUQqCotANorq1WyfQJ2xYv,2025-03-07 03:37:02.573729Z,2025-04-04 13:50:15.292090Z,60
tusheroky,149,G9Qg4LN8DxLHF5uAu3RwuDY2Fbd11UnNWkBDjVCMu3ya,2025-04-17 06:08:41.086866Z,2025-04-17 06:08:41.086866Z,60
like_leader,150,Esadi8pRN81R1MdR8q4vGkgsj3cCH77rdRuRpArfzDfu,2025-01-22 06:47:14.728861Z,2025-02-18 15:12:30.581738Z,59
Lingo,151,FmYBP2dTSQp51Dcwy3qJHdtS8tkZMubzzmp6SGXvVfLv,2024-12-27 09:17:02.354455Z,2025-02-21 19:01:38.951142Z,56
KArl18,152,2F3NSpn7nyWPRMeVqQUz3aGahGBFJrD8PzKzdjkUQWDg,2024-12-27 20:46:01.103851Z,2024-12-27 20:46:01.103851Z,55
ederfelix,153,EJyt7JDMTQfiKx9aQLK6s6xEDApqdVQsSdKvh3RmLHAL,2024-12-27 21:32:42.732075Z,2025-01-03 09:45:35.310249Z,55
Radow3,154,9SpwoLate89egLxyHLTdFqzZqkPmw2Zq4MhEiMgy7R1Y,2025-02-15 14:20:26.398936Z,2025-02-17 04:21:48.616008Z,54
